title,create_year,number_of_acts,genres,settings,time_and_place,cast_size,orchestra_size,dancing,casting_notes,tags,ideal_for,synopsis,cluster
9 to 5,2008,2,Comedy,"Contemporary, Multiple Settings","america, consolidated industries, 1970s",large,Medium,Some Dance,"Mostly female cast
                                                                                    
                                            Includes adult, mature adult, late teen, young adult characters",country;women;downtrodden;work;sexism;revenge;kidnap;empowerment;secretary,,"9 to 5 is based on the 1980 movie of the same name, and features music and lyrics by Dolly Parton. It centers on the downtrodden working lives of three women, Violet, Judy, and Doralee. They all work at Consolidated Industries, which is presided over by the sexist, lecherous, and pompous, Franklin Hart. Violet has worked at Consolidated for many years, but has never been given the chance to rise above senior supervisor status, although she is capable of much more. Judy is newly separated and joins the company having never worked before. Doralee is a sexy, happily married country girl, but she is ostracized from the other female workers. After Judy has an awful first day, Hart passes Violet over for another promotion, and Doralee finds out that Hart has been telling everyone they are having an affair, the three women unite in their hatred of Hart. Over a joint, they fantasize about how they would kill him. When Violet almost unwittingly poisons Hart the next day, he blackmails the three women, threatening them with the police. Doralee ties Hart up with the phone wires and, feeling empowered, they decide to imprison him in his own house while his wife is away. In Hart’s absence, Violet, Judy, and Doralee run the office to great effect. They introduce childcare, hour-long lunch breaks, rehab programs, and much more to benefit the staff at Consolidated. While Hart is tied up, the women also use the time to gather evidence that Hart has been embezzling from the company, but Hart breaks free and surprises the women at the office. However, his attempts to reveal the truth about his kidnapping are foiled when the Chairman of the Board arrives to praise the company’s increased productivity. The Chairman sends Hart to head up the Bolivia office and promotes Violet to the first female CEO. With Hart gone, the company reprise 9 to 5, in the happy knowledge that times have changed for the better.",15
[title of show],2008,1,Comedy,Simple/No Set,"various locations, including an apartment in hell’s kitchen, a rehearsal room, and a broadway stage.",small,Piano Only,None,Includes adult characters,musicals;broadway;meta;quirky;inspiring;new york;festival;ambition;writing;jealousy creativity;individuality;metatheatrical;backstage drama;youth;behind the scenes;small cast,"College/University, Community Theatre, Diverse Cast, Professional Theatre, Regional Theatre, Small Cast","Jeff and Hunter, two self-confessed nobodies in New York, make a pact: They will write an original musical and submit it to a festival.  The only catch?  The deadline is in three weeks!  They gather their two actress friends, Susan and Heidi, and their accompanist and music director, Larry, on the keys. With the full team assembled, Jeff and Hunter hit another roadblock-- what should they write about? Jeff and Hunter decide to follow the old adage, “write what you know,” and set off on a unique musical adventure: writing a musical about writing a musical. As the deadline looms, insecurities creep in and jealousies flare. Will the team succeed with their musical?  Could it even win a Tony?! In this intelligent, playful, lovable new musical, the audience is treated to an inside look at the tough work of being a creative artist. Frequently hilarious, occasionally heartbreaking, and thoroughly inspiring, [title of show] is a love story celebrating individuality and creativity.",0
ace of clubs,1950,2,,,,large,,,"Mostly male cast
                                                                                                                            
                                            Includes young adult, adult, mature adult characters",,,"In Soho, London, a man named Benny runs a nightclub called Ace of Clubs on behalf of its owner, Rita.  Benny picks up a package inside a raincoat in the club's coatroom along with a gangster, Smiling Snyder.  Snyder, however, forcefully kisses the club's star, Pinky Leroy, while she is on stage, and a sailor named Harry punches him.  Snyder starts shooting at Harry, and Harry and Pinky run away with the raincoat and find the package inside shortly later.  Detective-Inspector Warrilove comes to the club to investigate a jewel theft, suspecting Snyder.  Snyder and an associate try to kidnap Harry to get back the package, but Harry gets away.  Pinkie agrees to give Benny the parcel in exchange for Harry's safety, but Harry wants to turn it in to the police.  One of the girls working at the club finds the package and finds the stolen necklace inside.  Snyder gets the parcel back, but the necklace is no longer inside, as the girl is wearing it.  Rita, having found out about Benny's ties to gangsters and what has been going on, tells the gangsters to get out.  Warrilove notices the necklace and follows the girl wearing it, while Snyder realizes that the parcel no longer contains the necklace.  He returns to the club and is caught by Warrilove, and the two couples, Harry and Pinky, and Benny and Rita, get a happy ending.",2
the addams family,2010,2,"Comedy, Dark Comedy","Contemporary, Multiple Settings",new york city. the present.,medium,Medium,Some Dance,"Mostly male cast
                                                                                                                            
                                            Includes adult, late teen, young adult, child, early teen, mature adult characters",family;young love;mother;comic strip musical;tradition;adolescence;modern family;puppetry;medium cast;macabre;gothic;off-beat;addams family;cartoon;morbid;eerie;meet the parents,"College/University, Community Theatre, Diverse Cast, High School, Large Cast, Professional Theatre, Regional Theatre, Star Vehicle Female, Star Vehicle Male","In the kooky, upside-down world of the Addams Family, to be sad is to be happy, to feel pain is to feel joy, and death and suffering are the stuff of their dreams.  Nonetheless, this quirky family still has to deal with many of the same challenges faced by any other family, and the spookiest nightmare faced by every family creates the focus  Lippa, Brickman, and Elice’s musical:  the Addams kids are growing up.  The Addamses have lived by their unique values for hundreds of years and Gomez and Morticia, the patriarch and matriarch of the clan, would be only too happy to continue living that way. Their dark, macabre, beloved daughter Wednesday, however, is now an eighteen year-old young woman who is ready for a life of her own. She has fallen in love with Lucas Beineke, a sweet, smart boy from a normal, respectable Ohio family — the most un-Addams sounding person one could be! And to make matters worse, she has invited the Beinekes to their home for dinner. In one fateful, hilarious night, secrets are disclosed, relationships are tested, and the Addams family must face up to the one horrible thing they’ve managed to avoid for generations: change.",0
adding machine: a musical,2007,1,Drama,Simple/No Set,1920s city and afterlife,small,Small,None,"Mostly male cast
                                                                                                                            
                                            Includes adult characters",expressionist;operetta;modern;dark;small cast;afterlife;suicide;execution;industry;abstract;dark themes;existentialist;operatic,"Chamber Opera, College/University, Community Theatre, Ensemble Cast, Regional Theatre, Small Cast, Star Vehicle Male","In Adding Machine, Mr. Zero, a middle-aged accountant, is “let go” from his job after twenty-five years; he will be replaced by an adding machine. Facing a mundane and repetitious life with a shallow wife and a strained relationship with his female assistant, he murders his boss and finds himself facing execution. In the afterlife, Zero and his assistant find the romance they could never have in life, but Zero cannot reconcile his newfound happiness with his sense of justice and his new identity as murderer. In death, Zero discovers his true nature, the history of his soul, and has one final chance to find redemption. A nearly-operatic abstract score further conveys the expressionist nature of this deeply philosophical and dark commentary on the meaning of life.",0
aida,2000,2,"Drama, Historical/Biographical, Romance",Multiple Settings,3100 bc,medium,Large,Heavy,"Mostly male cast
                                                                                                                            
                                            Includes young adult, adult, mature adult, late teen characters",ethnic roles;star vehicle;egypt;nubia;military;war;princess;elton john;gospel;contemporary mt;star vehicle (female);disney;tony award;tony nominee,"College/University, Community Theatre, Diverse Cast, Large Cast, Professional Theatre, Regional Theatre, Star Vehicle Female","At the Nile’s edge, the enslaved Nubian princess, Aida becomes romantically entangled with the Egyptian captain, Radames, who is betrothed to the Pharaoh’s daughter, Amneris. As their forbidden love grows deeper, Aida is forced to find balance between her heart’s yearning for Radames, and her responsibility to lead her people.
Based on the opera by Giuseppe Verdi, Elton John and Tim Rice's Aida is a timeless love story, featuring an award-winning pop/rock score from the seasoned pop duo who brought musical life to Disney’s The Lion King. Rousing rock numbers and heart-wrenching ballads bring the ill-fated lovers into a new era.",0
ain't too proud: the life and times of the temptations,2017,2,"Historical/Biographical, Jukebox/Revue",Period,1960s/70s / Detroit and other places in the U.S.,large,,Heavy,"Mostly male cast
                                                                                                                            
                                            Includes adult, young adult characters",temptations;motown;revues;revue;african-american;african-american cast;tony nominee;diverse casting;diverse cast;diverse,Professional Theatre,"Ain't Too Proud is a jukebox musical that follows The Temptations' extraordinary journey from the streets of Detroit to the Rock & Roll Hall of Fame. With their signature dance moves and unmistakable harmonies, they rose to the top of the charts creating an amazing 42 Top Ten Hits with 14 reaching number one.
The show features the creation of the band, the groundbreaking heights they hit, and how personal and political conflicts threatened to tear the group apart as the United States fell into civil unrest. Set to the beat of the group’s treasured hits, including “My Girl,” “Just My Imagination,” “Get Ready,” and “Papa Was a Rolling Stone,” Ain’t Too Proud tells the unforgettable story of the legendary quintet that Billboard Magazine named the greatest R&B group of all time.",0
ain’t misbehavin’,1978,2,Jukebox/Revue,Simple/No Set,1930s,small,Small,Some Dance,"Mostly female cast
                                                                                    
                                            Includes adult, young adult characters",concert;flexible cast;period piece;cabaret;intimate spaces;harlem renaissance;tony award best musical;tony award;tony nominee,"College/University, Community Theatre, Ensemble Cast, High School, Professional Theatre, Regional Theatre, Small Cast","The Harlem Renaissance of the 1920s and 1930s comes to life in the three-time Tony award-winning musical revue, Ain't Misbehavin’. Join five performers on a journey through the timeless music of Thomas “Fats” Waller. You’ll be jumpin’ and jivin’ with memorable songs such as “Honeysuckle Rose”, “Ain’t Misbehavin’”, “Black and Blue”, “This Joint is Jumpin’ ” and “I’ve Got a Feeling I’m Falling.” One of the most popular, well-crafted revues of all time, the sometimes sassy, sometimes sultry, has moments of devastating beauty that is simply unforgettable.",0
aladdin,2011,2,"Comedy, Fairy Tale/Fantasy","Fantasy/Imaginary, Multiple Settings, Spectacle",agrabah,medium,Large,Heavy,"Mostly male cast
                                                                                                                            
                                            Includes late teen, young adult, adult, mature adult, elderly characters",middle-east;arab;disney;magic;love;romance;monarchy;courtship;marriage;opening number;production number;contemporary mt;i want song;junior version;adaptation,Professional Theatre,"Disney's Aladdin brings the famous animated film to life, on stage. In Agrabah, City of Enchantment, every beggar has a story and every camel has a tail! Aladdin, a kind but wily street urchin, falls in love with the beautiful Princess Jasmine, whom he knows is waaaaay out of his league. It just so happens, however, that the Sultan has declared Princess Jasmine must choose a husband. After she turns down the offers from various wealthy suitors, Aladdin -- with the help of a fast-talking, magical Genie -- introduces himself as wealthy suitor Prince Ali Ababwa. Meanwhile, evil royal advisor Jafar also has his sights set on the kingdom, and tries to convince the Sultan to force Jasmine to wed him. Will love conquer all? Perhaps - if love has a little help from a Genie.",7
all shook up,2004,2,"Comedy, Jukebox/Revue",Multiple Settings,One summer day in 1955 in a small Midwestern town,medium,Rock Combo,Some Dance,"Includes young adult, adult, mature adult, late teen characters",midwest;small town;jukebox;pop music;rock music;elvis;1950s;music;love;forbidden love;unrequited love;stranger;roustabout;outsider;reawakening;interracial relationship;disguise;crossdressing;dreams;passion;diverse cast;ensemble cast,"College/University, Community Theatre, Diverse Cast, Ensemble Cast, High School, Professional Theatre, Regional Theatre","The music of Elvis comes alive in All Shook Up. Inspired by Shakespeare’s Twelfth Night, All Shook Up follows a small Midwestern town that is thrown into a frenzy with the arrival of Chad, a good-looking, motorcycle-riding roustabout, who rides from town to town with a guitar on his back, blue suede shoes on his feet, and a song in his heart. Repressed by their conservative mayor, the town begins to come alive once more under Chad’s influence. Lovers meet, woo, pursue, and more, all in one zany night that will change the town forever. All Shook Up is a rocking, heartwarming tale about following dreams, opening up to love, and the power of music.",1
allegiance,2012,2,"Historical/Biographical, Drama","Period, Multiple Settings","United States of America, 1941 - 2001",large,Medium,Some Dance,"Mostly male cast
                                                                                                                            
                                            Includes elderly, mature adult, young adult, adult characters",asian-american;Japanese-american;war;world war two;sacrifice;family;love;heartbreak;patriotism;freedom;loyalty,"Diverse Cast, Professional Theatre, Regional Theatre, Star Vehicle Female, Star Vehicle Male","Based on the life of George Takei, Allegiance explores one family’s journey during the Japanese internment camps during World War II.  Sammy and Kei Kimura are the Japanese-American children of Tatsuo Kimura, a domineering father and first generation Japanese-American immigrant (or Issei). The family struggles with their opposing views of America when anti-Japanese sentiments begin to sweep across the country after the bombing of Pearl Harbor. While Sammy wants to join the army to prove his American loyalty, Kei protests against the unfair treatment of the Japanese people and demands freedom for her people. As their family is torn apart in the internment camps, Sammy and Kei fight in their own ways for freedom and acceptance for themselves and for their culture. Allegiance features a beautiful score by Jay Kuo and highlights the lesser known struggles of Japanese-Americans during World War II.",0
allegro,1947,2,"Drama, Comedy","Period, Multiple Settings",1905-1930s,medium,Large,Musical Staging,"Includes young adult, adult, mature adult, elderly characters",rodgers and hammerstein;concept musical;broadway;death;marriage;parenting;operetta;classic musical theatre;family;star vehicle (male);ensemble cast;life cycle,"College/University, Community Theatre, High School, Ensemble Cast, Regional Theatre, Religious Groups, Star Vehicle Male","Allegro is a classic example of a musical ahead of its time! The ensemble show chronicles nearly four decades in the life of an average American, Joseph Taylor, Jr. We follow his journey from cradle through a mid-life crisis and the knowledge of his wife's infidelity. Slowly, he discovers who he is and the meaning of life. The original 1947 Broadway production of Allegro was the first musical to be staged by a director who also served as choreographer (Agnes de Mille).",0
always... patsy cline,1988,2,Jukebox/Revue,"Contemporary, Multiple Settings",Louise Seger’s home in Texas and various locations from Patsy Cline’s career. Late 1950s-1980s.,small,Rock Combo,None,"Mostly female cast
                                                                                    
                                            Includes adult characters",historical figure;country music;music;singer;performer;fame;star;texas;american texas accent;motherhood;marriage;fan;friendship;pen pal;idol;connection;classic;standard;impersonation;stylized;small cast;2f show;two-hander;star vehicle (female);jukebox musical;jukebox,"College/University, Community Theatre, Professional Theatre, Regional Theatre, Small Cast, Star Vehicle Female","Always… Patsy Cline is a heartfelt celebration of the legendary country songstress. From the moment Texas housewife Louise Seger first heard Patsy Cline’s voice, she was hooked. After quickly becoming Cline’s biggest fan, Louise was able to meet her idol before a show one surprising evening in Houston. That night sparked a deep friendship between the two women which continued through the years, writing letters to each other as Cline’s fame skyrocketed. Years after Cline’s tragic death, Louise reminisces on their friendship and her love for the singer. Based on a true story, the musical features all of Patsy Cline’s greatest hits and a heartfelt, down home good time.",0
amelie,2015,1,"Comedy, Romance","Contemporary, Multiple Settings","Paris, Montmartre, France, 1970s, 1980s, 1990s",large,Medium,Some Dance,"Mostly male cast
                                                                                                                            
                                            Includes young adult, child, adult, mature adult, elderly characters",france;french;1970s;1980s;1990s;waitress;dreamer;dreaming;imagination;play;romantic;romance;whimsy;whimsical;reflective;contemporary mt;adaptation;fun;paris;optimism;art,"College/University, Community Theatre, Ensemble Cast, Professional Theatre, Regional Theatre, Star Vehicle Female","While times may be hard for dreamers, dreaming is all Amélie Poulain does. After surviving a tragic and isolated childhood, Amélie heads out on her own, joyfully finding her way through Paris and making friends from all walks of life: Suzanne, a trapeze artist-turned-cafe owner; Georgette, a hypochondriac tobacconist; Julian Dufayel, an artist with brittle bone disease; and many more. Through a chance discovery, Amélie finds a child’s box of treasures in the floor of her apartment, and sets out to return it. After her success, and the joy it brings to Bretodeau, the owner, Amélie resolves to anonymously do good for those around her. Most importantly, Amélie finds love in the form of Nino, a mysterious young man, and his photo album. Living in her imaginary world of make-believe and whimsy has been safe, but Amélie knows it is time to step out of her dreams and find joy for herself. With a romantic score, colorful characters, and a world of fantastical fun, Amélie is a beautiful tale for the dreamers in everyone.",0
amen corner,1983,2,Drama,,,medium,,,"Mostly female cast
                                                                                    
                                            Includes adult, mature adult, elderly, late teen, young adult characters",,,"Margaret Alexander, a female pastor of a storefront church in the 1960s, is greatly admired by her congregation.  After her long-lost musician husband returns, Margaret struggles to keep the congregation's respect. She almost loses her leadership of the church when the congregation sees how she deals with her 'wicked' husband and her wayward son, David.  In the end, her final reconciliation with her husband purges Margaret of bitterness and gives her the strength to continue her religious mission.",6
america's favorite newscaster,2018,2,Drama,"Contemporary, Multiple Settings","America, Present Day",medium,Small,Optional,"Mostly male cast
                                                                                                                            
                                            Includes adult, mature adult characters",media;journalist;journalism;pressure;news;challenges;america;american accent;contemporary;new work;star vehicle (male);newscaster;2m scenes;1m 1f scenes,"College/University, Professional Theatre, Regional Theatre, Star Vehicle Male","America’s Favorite Newscaster is a new American musical about Evan Fury, a young, highly rated TV journalist, struggling to maintain his famously calm yet fearlessly insightful demeanor while dealing with the challenges of today's news cycle. When the current President’s political climate becomes too much to bear, he makes the decision to abandon the television network he has built his career with in order to gain perspective and rebuild his personal life (“Whether You and I Are Together”). This decision saves his marriage and pleases his wife, who is about to give birth to their first child. But can he really stay away from being America’s favorite newscaster forever? Or can he find the perfect balance between real life and the news?
Editor’s Note: At no time during the performance is the current President's name to be mentioned or to appear in any way.",16
america's sweetheart,1931,2,Comedy,,,large,,,"Mostly male cast
                                                                                                                            
                                            Includes young adult, adult, mature adult characters",rodgers and hart,,"As a young couple, Michael and Geraldine left St. Paul Minnesota for Hollywood determined to be silent-movie stars. Geraldine becomes a star but Michael doesn’t. However, once talking films are introduced, the situation is reversed. Geraldine has a lisp, and now Michael becomes the star.",0
american idiot,2009,1,"Dark Comedy, Jukebox/Revue",Multiple Settings,"present, suburbia and the city",medium,Rock Combo,Some Dance,"Mostly male cast
                                                                                                                            
                                            Includes young adult characters",punk rock;suburbia;youth;disaffected;anger;drugs;war;addiction;coming of age;rock musical;contemporary mt;contemporary;edgy;jukebox musical;tony nominee,"College/University, Community Theatre, Diverse Cast, Mature Audiences, Professional Theatre, Regional Theatre","Bold, brash, and fun, American Idiot takes Green Day’s chart-topping 2005 punk rock album and brings it vibrantly to life. American Idiot follows a young anti-hero, Johnny, the self-proclaimed “Jesus of Suburbia”, and his two buddies, Will and Tunny, as they attempt to break out of their mind-numbing, aimless suburban existence. After escaping to the city, Johnny finds himself embroiled in a passionate affair with a stunning and unpredictable young woman, and an even more passionate affair with hard drugs.Tunny finds a sense of purpose by enlisting in the Army, but is wounded in the line of duty, both physically and emotionally. Meanwhile, Will, who decided to remain in the suburbs with his newly pregnant girlfriend, becomes moored to his couch, hopeless and stuck. Each of the men struggles to find the balance between rage and love -- a conflict that defines their generation. With Green Day’s heart-pounding, visceral songs and a young cast who rage against the machine of society with heart and spunk, American Idiot is a knockout guaranteed to bring the house down.",0
